Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
8/12/13,38.2,38.5,38.1,38.22,31161000,0,1,38.2,38.5,38.1,38.22,31161000
8/9/13,38.59,38.74,38.01,38.5,43532300,0,1,38.59,38.74,38.01,38.5,43532300
8/8/13,39.13,39.19,38.43,38.54,41301000,0,1,39.13,39.19,38.43,38.54,41301000
8/7/13,38.61,38.94,37.7,38.87,68854800,0,1,38.61,38.94,37.7,38.87,68854800
8/6/13,39.11,39.25,37.94,38.55,63950800,0,1,39.11,39.25,37.94,38.55,63950800
8/5/13,38.43,39.32,38.25,39.189,79994800,0,1,38.43,39.32,38.25,39.189,79994800
8/2/13,37.66,38.49,37.5,38.05,73058500,0,1,37.66,38.49,37.5,38.05,73058500
8/1/13,37.3,38.29,36.92,37.489,106066500,0,1,37.3,38.29,36.92,37.489,106066500
7/31/13,37.96,38.31,36.33,36.8,154828700,0,1,37.96,38.31,36.33,36.8,154828700
7/30/13,35.65,37.96,35.32,37.627,173582800,0,1,35.65,37.96,35.32,37.627,173582800
7/29/13,34.07,35.63,34.01,35.43,124718800,0,1,34.07,35.63,34.01,35.43,124718800
7/26/13,33.77,34.73,33.56,34.01,136028900,0,1,33.77,34.73,33.56,34.01,136028900
7/25/13,33.545,34.88,32.75,34.359,365457900,0,1,33.545,34.88,32.75,34.359,365457900
7/24/13,26.32,26.53,26.05,26.51,82635600,0,1,26.32,26.53,26.05,26.51,82635600
7/23/13,26.1,26.3,25.97,26.13,28221600,0,1,26.1,26.3,25.97,26.13,28221600
7/22/13,25.99,26.13,25.72,26.045,27526300,0,1,25.99,26.13,25.72,26.045,27526300
7/19/13,25.82,26.1077,25.6,25.881,46539700,0,1,25.82,26.1077,25.6,25.881,46539700
7/18/13,26.75,26.77,26.12,26.18,24806900,0,1,26.75,26.77,26.12,26.18,24806900
7/17/13,26.37,26.78,26.3,26.65,21518500,0,1,26.37,26.78,26.3,26.65,21518500
7/16/13,26.39,26.75,26.01,26.32,30817600,0,1,26.39,26.75,26.01,26.32,30817600
7/15/13,25.93,26.43,25.65,26.28,24234000,0,1,25.93,26.43,25.65,26.28,24234000
7/12/13,25.74,25.93,25.55,25.91,16537900,0,1,25.74,25.93,25.55,25.91,16537900
7/11/13,25.96,26,25.45,25.81,26777400,0,1,25.96,26,25.45,25.81,26777400
7/10/13,25.58,25.83,25.47,25.8,26721800,0,1,25.58,25.83,25.47,25.8,26721800
7/9/13,25.07,25.49,25.03,25.48,30387900,0,1,25.07,25.49,25.03,25.48,30387900
7/8/13,24.47,25.04,24.42,24.71,27064600,0,1,24.47,25.04,24.42,24.71,27064600
7/5/13,24.65,24.66,24.2,24.37,20229500,0,1,24.65,24.66,24.2,24.37,20229500
7/3/13,24.22,24.71,24.15,24.52,10404400,0,1,24.22,24.71,24.15,24.52,10404400
7/2/13,24.7,24.77,24.3,24.41,18394100,0,1,24.7,24.77,24.3,24.41,18394100
7/1/13,24.9694,25.0601,24.62,24.81,20582200,0,1,24.9694,25.0601,24.62,24.81,20582200
6/28/13,24.68,24.98,24.42,24.88,96778900,0,1,24.68,24.98,24.42,24.88,96778900
6/27/13,24.24,24.84,24.21,24.66,34694100,0,1,24.24,24.84,24.21,24.66,34694100
6/26/13,24.51,24.65,23.99,24.16,29890300,0,1,24.51,24.65,23.99,24.16,29890300
6/25/13,24.14,24.43,24.04,24.25,24713200,0,1,24.14,24.43,24.04,24.25,24713200
6/24/13,23.95,24.11,23.38,23.935,40626000,0,1,23.95,24.11,23.38,23.935,40626000
6/21/13,24.59,24.7,24.05,24.53,45833900,0,1,24.59,24.7,24.05,24.53,45833900
6/20/13,24.28,24.745,23.65,23.9,42765600,0,1,24.28,24.745,23.65,23.9,42765600
6/19/13,24.2,25.19,24.1,24.309,31790600,0,1,24.2,25.19,24.1,24.309,31790600
6/18/13,24.09,24.69,24.08,24.21,36709100,0,1,24.09,24.69,24.08,24.21,36709100
6/17/13,23.91,24.25,23.75,24.022,33664500,0,1,23.91,24.25,23.75,24.022,33664500
6/14/13,23.56,23.89,23.26,23.63,30677100,0,1,23.56,23.89,23.26,23.63,30677100
6/13/13,23.72,23.83,23.265,23.73,31189300,0,1,23.72,23.83,23.265,23.73,31189300
6/12/13,24.16,24.26,23.58,23.77,26445800,0,1,24.16,24.26,23.58,23.77,26445800
6/11/13,24.03,24.35,24,24.03,29885900,0,1,24.03,24.35,24,24.03,29885900
6/10/13,24.06,24.6,23.99,24.33,58393000,0,1,24.06,24.6,23.99,24.33,58393000
6/7/13,23.03,23.4,22.86,23.291,38699200,0,1,23.03,23.4,22.86,23.291,38699200
6/6/13,22.99,23.09,22.67,22.97,31260700,0,1,22.99,23.09,22.67,22.97,31260700
6/5/13,23.35,23.705,22.79,22.899,53819700,0,1,23.35,23.705,22.79,22.899,53819700
6/4/13,23.89,23.93,23.32,23.52,34760800,0,1,23.89,23.93,23.32,23.52,34760800
6/3/13,24.265,24.32,23.71,23.848,35733800,0,1,24.265,24.32,23.71,23.848,35733800
5/31/13,24.63,24.95,24.27,24.348,35925000,0,1,24.63,24.95,24.27,24.348,35925000
5/30/13,24.13,24.779,23.93,24.55,60733200,0,1,24.13,24.779,23.93,24.55,60733200
5/29/13,23.79,23.81,23.26,23.32,64237800,0,1,23.79,23.81,23.26,23.32,64237800
5/28/13,24.54,24.54,23.92,24.1,50079700,0,1,24.54,24.54,23.92,24.1,50079700
5/24/13,24.97,24.97,24.08,24.3125,58727900,0,1,24.97,24.97,24.08,24.3125,58727900
5/23/13,24.8,25.53,24.77,25.06,37663100,0,1,24.8,25.53,24.77,25.06,37663100
5/22/13,25.65,25.85,24.92,25.159,45314500,0,1,25.65,25.85,24.92,25.159,45314500
5/21/13,25.87,26.075,25.59,25.66,26261300,0,1,25.87,26.075,25.59,25.66,26261300
